Lambda (nm)	A	B	C	D50	D55	D65	D75	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12
645	1,61516	1,0025	0,83561	0,98854	0,906	0,81863	0,766	0,33008	0,33601	0,36621	0,42927	0,28026	0,28281	0,79809	1,21939	1,14443	0,64793	0,82686	0,89286
650	1,65028	1,011	0,83761	0,98726	0,889	0,80027	0,748	0,2896	0,2896	0,31389	0,36742	0,24474	0,24158	0,7965	1,23299	1,16797	0,94379	1,26502	1,35714
655	1,6851	1,016	0,83761	0,98599	0,896	0,80121	0,7455	0,25401	0,24876	0,26759	0,31292	0,21382	0,20616	0,80366	1,22959	1,21743	0,81953	1,0636	1,11688
660	1,71963	1,021	0,83476	0,98471	0,903	0,80215	0,743	0,22331	0,21349	0,2285	0,26699	0,18618	0,17538	0,78458	1,19048	1,21429	0,67751	0,87633	0,91234
665	1,75383	1,0205	0,8283	0,98726	0,921	0,81246	0,7485	0,19609	0,18317	0,19423	0,22596	0,16382	0,14925	0,6876	1,06973	1,03611	0,59172	0,75618	0,78571
670	1,78769	1,02	0,81956	0,98981	0,939	0,82278	0,754	0,17237	0,1578	0,16536	0,19167	0,14408	0,12776	0,5779	0,93452	0,82967	0,4497	0,54417	0,53247
675	1,82118	1,0155	0,81007	0,99236	0,9195	0,80281	0,735	0,15213	0,13552	0,14011	0,16167	0,12697	0,10859	0,51192	0,84864	0,72057	0,39941	0,46996	0,44156
680	1,85429	1,011	0,79772	0,9949	0,9	0,78284	0,716	0,13468	0,11696	0,11966	0,13717	0,1125	0,09292	0,46343	0,78401	0,64757	0,43491	0,5159	0,48377
685	1,88701	0,9995	0,78072	0,9758	0,8485	0,74003	0,6775	0,12003	0,10149	0,10222	0,11696	0,1	0,07956	0,43005	0,73299	0,59419	0,52959	0,68551	0,69481
690	1,91931	0,988	0,76163	0,95669	0,797	0,69721	0,639	0,11654	0,09468	0,09321	0,1041	0,09408	0,07491	0,40064	0,68622	0,55181	0,51479	0,70671	0,75974
695	1,95118	0,976	0,74302	0,93758	0,8125	0,70665	0,645	0,09979	0,07859	0,07637	0,08512	0,08289	0,06098	0,36328	0,6284	0,49843	0,30178	0,42403	0,46104
700	1,98261	0,964	0,7246	0,91847	0,828	0,71609	0,651	0,09002	0,06807	0,06554	0,07226	0,07434	0,05285	0,3275	0,57058	0,44898	0,33728	0,47703	0,52273
705	2,01359	0,95	0,70617	0,88153	0,838	0,72979	0,666	0,08304	0,06126	0,05773	0,06307	0,06908	0,04704	0,29968	0,52381	0,41209	0,98225	1,44876	1,63636
710	2,04409	0,936	0,68756	0,84459	0,848	0,74349	0,681	0,07537	0,05446	0,04991	0,05389	0,06316	0,04123	0,27504	0,47874	0,37677	1,3284	1,97173	2,26623
715	2,07411	0,92	0,66857	0,80765	0,775	0,67977	0,6225	0,06699	0,04703	0,04269	0,04532	0,05592	0,03542	0,24483	0,42772	0,33673	0,60651	0,88693	1,03571
720	2,10365	0,904	0,64862	0,7707	0,702	0,61604	0,564	0,06141	0,04208	0,03728	0,03919	0,05132	0,03136	0,21701	0,37925	0,29827	0,14497	0,20141	0,23052
725	2,13268	0,887	0,62963	0,81019	0,7475	0,65745	0,603	0,05652	0,03775	0,03247	0,03307	0,04737	0,02787	0,19634	0,34184	0,26923	0,07101	0,09541	0,0974
730	2,1612	0,87	0,61159	0,84968	0,793	0,69886	0,642	0,05373	0,03465	0,02946	0,03001	0,04474	0,02555	0,17886	0,31122	0,2449	0,06213	0,08127	0,08442
